latitude,longitude,name,percent
-15.7975,-47.8919,Brazil,4.88
4.711,-74.0721,Colombia,6.1
28.6139,77.209,India,7.3
-6.2088,106.8456,Indonesia,4.5
-1.2921,36.8219,Kenya,8.52
9.0765,7.3986,Nigeria,6.31
33.6844,73.0479,Pakistan,4.1
14.5995,120.9842,Phillipines,3.98
55.7558,37.6173,Russia,11.91
-33.918861,18.4233,South Africa,7.11
13.7563,100.5018,Thailand,5.2
50.4501,30.5234,Ukraine,12.73
51.5072,-0.1276,United Kingdom,4.95
38.9072,-77.0369,United States,8.31
10.4806,-66.9036,Venezuela,10.3
21.0278,105.8342,Vietnam,6
